time;x;y;z
5.011319645;7.146286011;-6.675582886;3.296737671
5.013791568;7.37612915;-6.558273315;3.270401001
5.016263492;7.640686035;-6.479263306;3.209350586
5.018704898;7.893280029;-6.382293701;3.167449951
5.021176822;8.181777954;-6.269760132;3.11479187
5.023648746;8.476272583;-6.153640747;3.089645386
5.026090152;8.763580322;-6.030349731;3.174636841
5.028562076;9.046081543;-5.869934082;3.180618286
5.031034;9.359725952;-5.744232178;3.16267395
5.033505924;9.681747437;-5.693954468;3.214141846
5.03594733;9.918777466;-5.592208862;3.13633728
5.038419254;10.17016602;-5.449752808;3.041763306
5.040891178;10.3772583;-5.415039063;2.995071411
5.043363102;10.5604248;-5.364761353;2.920852661
5.045804508;10.68611145;-5.315673828;2.777206421
5.048276432;10.71844482;-5.310882568;2.633544922
5.050748355;10.63105774;-5.369537354;2.445602417
5.053220279;10.37487793;-5.370742798;2.400115967
5.055661686;10.03608704;-5.443771362;2.337860107
5.058133609;9.709289551;-5.521575928;2.316314697
5.060605533;9.309448242;-5.582626343;2.360610962
5.063077457;8.847366333;-5.614944458;2.497085571
5.065518863;8.497817993;-5.602981567;2.677841187
5.067990787;8.083618164;-5.588607788;2.834655762
5.070462711;7.679000854;-5.656845093;3.036972046
5.072934635;7.322265625;-5.681991577;3.199783325
5.075376041;7.00982666;-5.692764282;3.384124756
5.077847965;6.684204102;-5.714309692;3.484695435
5.080319889;6.432815552;-5.738250732;3.550521851
5.082791812;6.235290527;-5.744232178;3.68939209
5.085233219;5.979110718;-5.750228882;3.745651245
5.087705143;5.787582397;-5.805282593;3.865371704
5.090177066;5.648712158;-5.749023438;4.03894043
5.09264899;5.508651733;-5.796905518;4.061691284
5.095090396;5.422470093;-5.848388672;4.09161377
5.09756232;5.361419678;-5.832824707;4.299911499
5.100034244;5.258468628;-5.828033447;4.474685669
5.102506168;5.167480469;-5.907043457;4.544128418
5.104947574;4.961578369;-6.036331177;4.702133179
5.107419498;4.75088501;-6.171600342;4.837417603
5.109891422;4.640762329;-6.309265137;5.031341553
5.112363346;4.489929199;-6.339202881;5.182174683
5.114804752;4.383377075;-6.400253296;5.356948853
5.117276676;4.330703735;-6.499603271;5.619125366
5.1197486;4.313949585;-6.490036011;5.791503906
5.122220523;4.189453125;-6.517562866;5.899246216
5.12466193;4.09967041;-6.616928101;5.929168701
5.127133854;3.99911499;-6.656433105;6.033309937
5.129605777;3.862640381;-6.728256226;6.027328491
5.132077701;3.734558105;-6.79888916;5.968673706
5.134549625;3.661529541;-6.898239136;6.032119751
5.137021549;3.560974121;-6.986831665;6.033309937
5.139493473;3.417327881;-7.128082275;5.983032227
5.141965396;3.265289307;-7.26335144;5.947128296
5.144406803;3.070159912;-7.417785645;5.961486816
5.146878727;2.936080933;-7.547073364;5.944732666
5.14935065;2.809188843;-7.64642334;5.996200562
5.151822574;2.718215942;-7.794876099;5.929168701
5.15426398;2.549423218;-7.928939819;5.768753052
5.156735904;2.418945313;-7.990005493;5.601165771
5.159207828;2.302825928;-8.114501953;5.446731567
5.161679752;2.172332764;-8.253356934;5.129501343
5.164121158;2.066986084;-8.295257568;4.910430908
5.166593082;1.976013184;-8.444900513;4.794311523
5.169065006;1.846725464;-8.510742188;4.632705688
5.17153693;1.807220459;-8.698684692;4.479476929
5.173978336;1.825180054;-8.813598633;4.303512573
5.17645026;1.784469604;-8.921340942;4.230484009
5.178922184;1.740188599;-9.045837402;4.173019409
5.181394107;1.76890564;-9.207443237;4.214920044
5.183835514;1.822784424;-9.366668701;4.271179199
5.186307437;1.954467773;-9.499542236;4.435180664
5.188779361;2.032272339;-9.631225586;4.632705688
5.191251285;2.130432129;-9.72819519;4.739257813
5.193692691;2.240570068;-9.811981201;4.863754272
5.196164615;2.403381348;-9.893386841;4.983459473
5.198636539;2.602096558;-9.911346436;5.123519897
5.201108463;2.806793213;-9.989151001;5.328216553
5.203549869;3.022277832;-10.01309204;5.532928467
5.206021793;3.201843262;-10.04421997;5.771148682
5.208493717;3.491546631;-10.01309204;5.997406006
5.210965641;3.702224731;-9.940078735;6.288299561
5.213407047;4.007492065;-9.85748291;6.4894104
5.215878971;4.2840271;-9.829940796;6.703689575
5.218350895;4.653930664;-9.816772461;6.807846069
