time,x,y,z
12.92058271,1.827575684,-4.305328369,8.875228882
12.92305464,1.783279419,-4.36277771,8.919525146
12.92552656,1.74256897,-4.358001709,8.917129517
12.92799849,1.746170044,-4.371170044,8.944671631
12.93043989,1.689910889,-4.414260864,8.935089111
12.93291182,1.67074585,-4.398696899,8.893188477
12.93538374,1.698287964,-4.403488159,8.975784302
12.93785566,1.639633179,-4.392715454,9.017684937
12.94029707,1.598922729,-4.403488159,8.939880371
12.94276899,1.601318359,-4.421447754,9.000930786
12.94524092,1.552230835,-4.363983154,9.030853271
12.94771284,1.49597168,-4.375946045,8.963821411
12.95015425,1.555831909,-4.313705444,8.984176636
12.95262617,1.545059204,-4.241882324,9.028457642
12.95509809,1.54864502,-4.276596069,9.060791016
12.95757002,1.542663574,-4.27180481,9.096694946
12.96001142,1.533081055,-4.186813354,9.130218506
12.96248335,1.540267944,-4.107803345,9.097900391
12.96495527,1.561813354,-4.100616455,9.132614136
12.9674272,1.549850464,-4.04196167,9.173309326
12.9698686,1.59413147,-4.027587891,9.155349731
12.97234053,1.580963135,-3.97492981,9.120635986
12.97481245,1.627655029,-3.885147095,9.170913696
12.97728437,1.677932739,-3.844436646,9.136199951
12.97972578,1.705459595,-3.796554565,9.106277466
12.9821977,1.71862793,-3.755859375,9.083526611
12.98466963,1.752151489,-3.695999146,9.111068726
12.98714155,1.755737305,-3.728317261,9.091903687
12.98958296,1.785675049,-3.695999146,9.087127686
12.99205488,1.814407349,-3.684020996,9.005722046
12.99452681,1.837142944,-3.676849365,9.036849976
12.99699873,1.857498169,-3.657684326,8.966217041
12.99944014,1.861083984,-3.674453735,8.924316406
13.00191206,1.894607544,-3.694793701,8.844116211
13.00438398,1.925735474,-3.691207886,8.836929321
13.00688642,1.961639404,-3.676849365,8.848892212
13.00932783,1.977203369,-3.729522705,8.760314941
13.01179975,1.999954224,-3.76902771,8.744750977
13.01427168,2.016708374,-3.773803711,8.730377197
13.0167436,2.044250488,-3.84085083,8.706436157
13.01918501,2.077758789,-3.88394165,8.660949707
